"TV","SPEAKER","GENDER","AGE","REGION"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"vous","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"vous","F04L","female",25,"paris"
"vous","F04L","female",25,"paris"
"vous","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
